source,station_key,osm_relation_id,relation_name,relation_anchor_features,member_order,member_feature_id,member_role,geometry_inventory_status,member_tags_json,candidate_boarding_node,member_mode_status,relation_mode_status
derived_explicit_relation_membership,CR_HB_LABEL:vadala road,11507866,Vadala Road,"[""node/7510862064"",""node/7510862065"",""node/7510862066"",""node/7510862067""]",15,way/1133062855,access,not_in_current_inventory,{},False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:vadala road,11507866,Vadala Road,"[""node/7510862064"",""node/7510862065"",""node/7510862066"",""node/7510862067""]",16,way/1343435455,access,not_in_current_inventory,{},False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:vadala road,11507866,Vadala Road,"[""node/7510862064"",""node/7510862065"",""node/7510862066"",""node/7510862067""]",17,way/1343435454,access,not_in_current_inventory,{},False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:vadala road,11507866,Vadala Road,"[""node/7510862064"",""node/7510862065"",""node/7510862066"",""node/7510862067""]",18,way/1343435456,access,not_in_current_inventory,{},False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:vadala road,11507866,Vadala Road,"[""node/7510862064"",""node/7510862065"",""node/7510862066"",""node/7510862067""]",19,way/1133062856,access,not_in_current_inventory,{},False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:vadala road,11507866,Vadala Road,"[""node/7510862064"",""node/7510862065"",""node/7510862066"",""node/7510862067""]",20,way/1343435457,access,not_in_current_inventory,{},False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:vadala road,11507866,Vadala Road,"[""node/7510862064"",""node/7510862065"",""node/7510862066"",""node/7510862067""]",21,way/681040011,access,not_in_current_inventory,{},False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:vadala road,11507866,Vadala Road,"[""node/7510862064"",""node/7510862065"",""node/7510862066"",""node/7510862067""]",22,way/1343435458,access,not_in_current_inventory,{},False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:vadala road,11507866,Vadala Road,"[""node/7510862064"",""node/7510862065"",""node/7510862066"",""node/7510862067""]",23,way/681040010,access,not_in_current_inventory,{},False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:vadala road,11507866,Vadala Road,"[""node/7510862064"",""node/7510862065"",""node/7510862066"",""node/7510862067""]",24,way/1343435459,access,not_in_current_inventory,{},False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:vadala road,11507866,Vadala Road,"[""node/7510862064"",""node/7510862065"",""node/7510862066"",""node/7510862067""]",25,way/681040009,access,not_in_current_inventory,{},False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:vadala road,11507866,Vadala Road,"[""node/7510862064"",""node/7510862065"",""node/7510862066"",""node/7510862067""]",26,way/668730761,access,not_in_current_inventory,{},False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:vadala road,11507866,Vadala Road,"[""node/7510862064"",""node/7510862065"",""node/7510862066"",""node/7510862067""]",27,way/1343435468,entrance,not_in_current_inventory,{},False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:vadala road,11507866,Vadala Road,"[""node/7510862064"",""node/7510862065"",""node/7510862066"",""node/7510862067""]",28,way/1343435466,entrance,not_in_current_inventory,{},False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:vadala road,11507866,Vadala Road,"[""node/7510862064"",""node/7510862065"",""node/7510862066"",""node/7510862067""]",29,way/1343435467,entrance,not_in_current_inventory,{},False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:sewri,11507867,Sewri,"[""node/5389227951"",""node/619290284"",""node/700886180""]",1,node/700886180,,available,"{""internet_access"":""no"",""name"":""Sewri"",""name:hi"":""शिवड़ी"",""network"":""IR"",""operator"":""CR"",""public_transport"":""station"",""railway"":""station"",""ref"":""SVE"",""train"":""yes"",""wikidata"":""Q7458298"",""wikipedia"":""en:Sewri railway station""}",False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:sewri,11507867,Sewri,"[""node/5389227951"",""node/619290284"",""node/700886180""]",2,way/427265506,platform,available,"{""bench"":""yes"",""bin"":""yes"",""lit"":""yes"",""public_transport"":""platform"",""railway"":""platform"",""shelter"":""yes""}",False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:sewri,11507867,Sewri,"[""node/5389227951"",""node/619290284"",""node/700886180""]",3,way/427265505,platform,available,"{""bench"":""yes"",""bin"":""yes"",""lit"":""yes"",""public_transport"":""platform"",""railway"":""platform"",""shelter"":""yes"",""train"":""yes""}",False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:sewri,11507867,Sewri,"[""node/5389227951"",""node/619290284"",""node/700886180""]",4,node/5389227951,stop,available,"{""name"":""Sewri"",""name:hi"":""शिवड़ी"",""public_transport"":""stop_position"",""railway"":""stop"",""ref"":""1"",""train"":""yes""}",True,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:sewri,11507867,Sewri,"[""node/5389227951"",""node/619290284"",""node/700886180""]",5,node/619290284,stop,available,"{""name"":""Sewri"",""name:hi"":""शिवड़ी"",""public_transport"":""stop_position"",""railway"":""stop"",""ref"":""2"",""train"":""yes""}",True,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:cotton green,11507916,Cotton Green,"[""node/4264980597"",""node/5389227965"",""node/700886403""]",1,node/700886403,,available,"{""name"":""Cotton Green"",""name:hi"":""कॉटन ग्रीन"",""network"":""IR"",""operator"":""CR"",""public_transport"":""station"",""railway"":""station"",""ref"":""CTGN"",""wikidata"":""Q5175691"",""wikipedia"":""en:Cotton Green railway station""}",False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:cotton green,11507916,Cotton Green,"[""node/4264980597"",""node/5389227965"",""node/700886403""]",2,way/427265504,platform,available,"{""bench"":""yes"",""bin"":""yes"",""lit"":""yes"",""public_transport"":""platform"",""railway"":""platform"",""shelter"":""yes""}",False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:cotton green,11507916,Cotton Green,"[""node/4264980597"",""node/5389227965"",""node/700886403""]",3,node/5389227965,stop,available,"{""name"":""Cotton Green"",""public_transport"":""stop_position"",""railway"":""stop"",""ref"":""1"",""train"":""yes""}",True,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:cotton green,11507916,Cotton Green,"[""node/4264980597"",""node/5389227965"",""node/700886403""]",4,node/4264980597,stop,available,"{""name"":""Cotton Green"",""public_transport"":""stop_position"",""railway"":""stop"",""ref"":""2"",""train"":""yes""}",True,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:cotton green,11507916,Cotton Green,"[""node/4264980597"",""node/5389227965"",""node/700886403""]",5,way/427265503,platform,available,"{""bench"":""yes"",""bin"":""yes"",""lit"":""yes"",""public_transport"":""platform"",""railway"":""platform"",""shelter"":""yes"",""train"":""yes""}",False,requires_native_rail_membership_check,requires_native_rail_membership_check
