state_code,district_code,subdistrict_code,town_code,area_name,residence,household_size_band,households_count,all_size_households_count,all_size_normal_household_persons_count,published_mean_household_size_persons,universe,source,source_id,source_sha256,source_row,observation_year,status
27,517,04159,000000,Sub-district - Vikramgad,Total,15+,36,26723,132674,5.0,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,700,2011,historical_control_not_current_demand
27,517,04159,000000,Sub-district - Vikramgad,Rural,1,855,25470,127402,5.0,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,701,2011,historical_control_not_current_demand
27,517,04159,000000,Sub-district - Vikramgad,Rural,2,2678,25470,127402,5.0,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,701,2011,historical_control_not_current_demand
27,517,04159,000000,Sub-district - Vikramgad,Rural,3,2932,25470,127402,5.0,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,701,2011,historical_control_not_current_demand
27,517,04159,000000,Sub-district - Vikramgad,Rural,4,4429,25470,127402,5.0,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,701,2011,historical_control_not_current_demand
27,517,04159,000000,Sub-district - Vikramgad,Rural,5,4879,25470,127402,5.0,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,701,2011,historical_control_not_current_demand
27,517,04159,000000,Sub-district - Vikramgad,Rural,6,3943,25470,127402,5.0,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,701,2011,historical_control_not_current_demand
27,517,04159,000000,Sub-district - Vikramgad,Rural,7-10,5310,25470,127402,5.0,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,701,2011,historical_control_not_current_demand
27,517,04159,000000,Sub-district - Vikramgad,Rural,11-14,409,25470,127402,5.0,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,701,2011,historical_control_not_current_demand
27,517,04159,000000,Sub-district - Vikramgad,Rural,15+,35,25470,127402,5.0,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,701,2011,historical_control_not_current_demand
