region,observation_year,minimum_age_years,activity,residence,sex,activity_scope,denominator,value,unit,source,source_id,source_sha256,statement,pdf_page,status
Maharashtra,2024,6,"Culture, leisure, mass-media and sports practices",urban,person,major_activity,participation,93.6,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,"Culture, leisure, mass-media and sports practices",rural+urban,male,major_activity,participation,92.9,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,"Culture, leisure, mass-media and sports practices",rural+urban,female,major_activity,participation,86.3,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,"Culture, leisure, mass-media and sports practices",rural+urban,person,major_activity,participation,89.7,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Self-care and maintenance,rural,male,major_activity,participation,100.0,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Self-care and maintenance,rural,female,major_activity,participation,100.0,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Self-care and maintenance,rural,person,major_activity,participation,100.0,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Self-care and maintenance,urban,male,major_activity,participation,100.0,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Self-care and maintenance,urban,female,major_activity,participation,100.0,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Self-care and maintenance,urban,person,major_activity,participation,100.0,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
