office_label,column_1_based,measure,office_level,category_code,printed_category_label,vehicles_count,aggregate_row,source_page,source,source_sha256
Borivali,4,registered_stock_20170331,office,6,6 Station Wagons,0,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Borivali,4,registered_stock_20170331,office,7a,7(A) Taxi meter fitted,342,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Borivali,4,registered_stock_20170331,office,7b,7(B) Taxi Tourist Cabs,10361,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Borivali,4,registered_stock_20170331,office,8,8 Autorickshaws,19285,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Borivali,4,registered_stock_20170331,office,9,9 Stage Carriages,0,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Borivali,4,registered_stock_20170331,office,10,10 Contract Carriages,94,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Borivali,4,registered_stock_20170331,office,11,11 School Buses,928,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Borivali,4,registered_stock_20170331,office,12,12 Pvt.Serv.Veh.,25,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Borivali,4,registered_stock_20170331,office,13,13 Ambulances,27,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Borivali,4,registered_stock_20170331,office,14,14 Arti. & Multi.Veh.,0,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Borivali,4,registered_stock_20170331,office,15,15 Trucks & Lorries,0,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Borivali,4,registered_stock_20170331,office,16,16 Tankers,0,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Borivali,4,registered_stock_20170331,office,17,17 Del. Van(4 Wh.),2724,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Borivali,4,registered_stock_20170331,office,18,18 Del. Van(3 wh.),0,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Borivali,4,registered_stock_20170331,office,19,19 Tractors,0,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Borivali,4,registered_stock_20170331,office,20,20 Trailers,0,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Borivali,4,registered_stock_20170331,office,21,21 Others.,0,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Borivali,4,registered_stock_20170331,office,total_all_vehicles,Total,454514,True,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Greater Mumbai,5,registered_stock_20170331,region,1,1 Motor Cycles,1140014,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Greater Mumbai,5,registered_stock_20170331,region,2,2 Scooters,613580,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Greater Mumbai,5,registered_stock_20170331,region,3,3 Mopeds,31063,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Greater Mumbai,5,registered_stock_20170331,region,subtotal_two_wheelers,Total Two  wheelers,1784657,True,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Greater Mumbai,5,registered_stock_20170331,region,4,4 Motor Cars,911856,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Greater Mumbai,5,registered_stock_20170331,region,5,5 Jeeps,29513,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Greater Mumbai,5,registered_stock_20170331,region,6,6 Station Wagons,3714,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Greater Mumbai,5,registered_stock_20170331,region,7a,7(A) Taxi meter fitted,57810,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Greater Mumbai,5,registered_stock_20170331,region,7b,7(B) Taxi Tourist Cabs,60752,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Greater Mumbai,5,registered_stock_20170331,region,8,8 Autorickshaws,137650,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Greater Mumbai,5,registered_stock_20170331,region,9,9 Stage Carriages,4951,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Greater Mumbai,5,registered_stock_20170331,region,10,10 Contract Carriages,3924,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Greater Mumbai,5,registered_stock_20170331,region,11,11 School Buses,2618,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
