state_code,district_code,area_name,residence,age_years_or_band,persons_count,male_persons_count,female_persons_count,source,source_id,source_sha256,source_row,observation_year,status
27,520,District - Raigarh (24),Rural,61,10077,4764,5313,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2542,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Urban,61,4397,2365,2032,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2542,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Total,62,12921,6506,6415,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2543,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Rural,62,8956,4339,4617,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2543,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Urban,62,3965,2167,1798,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2543,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Total,63,10476,5650,4826,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2544,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Rural,63,7063,3665,3398,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2544,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Urban,63,3413,1985,1428,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2544,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Total,64,10319,5140,5179,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2545,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Rural,64,7159,3429,3730,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2545,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Urban,64,3160,1711,1449,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2545,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Total,65,27639,11576,16063,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2546,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Rural,65,21602,8946,12656,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2546,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Urban,65,6037,2630,3407,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2546,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Total,66,12251,5711,6540,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2547,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Rural,66,9258,4195,5063,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2547,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Urban,66,2993,1516,1477,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2547,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Total,67,7868,3994,3874,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2548,2011,historical_control_not_current_demand
27,520,District - Raigarh (24),Rural,67,5775,2860,2915,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2548,2011,historical_control_not_current_demand
