source,source_id,source_sha256,source_pdf_page,reference_date_basis,publisher_citation_year,state_name,district_name_as_printed,district_number_within_report_state,boundary_year,status,reference_year,age_label,male_persons_count,female_persons_count
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2015,10,22005,19864
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2016,10,22192,19985
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2012,11,21885,19726
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2013,11,22110,19891
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2014,11,22331,20052
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2015,11,22548,20209
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2016,11,22761,20362
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2012,12,22027,19764
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2013,12,22291,19973
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2014,12,22552,20179
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2015,12,22810,20383
