source,source_id,source_sha256,source_pdf_page,source_table,publisher_edition,area_name,geography_level,status,reference_date,age_label,age_partition,persons_thousands_count,male_thousands_count,female_thousands_count,unit_basis
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2026-03-01,25-29,five_year_or_open,11131,5892,5239,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2031-03-01,25-29,five_year_or_open,10712,5663,5049,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2036-03-01,25-29,five_year_or_open,10403,5493,4910,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2026-03-01,30-34,five_year_or_open,11238,5985,5253,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2031-03-01,30-34,five_year_or_open,11175,5932,5243,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2036-03-01,30-34,five_year_or_open,10768,5711,5057,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2026-03-01,35-39,five_year_or_open,10863,5765,5098,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2031-03-01,35-39,five_year_or_open,11216,5978,5238,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2036-03-01,35-39,five_year_or_open,11163,5932,5231,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2026-03-01,40-44,five_year_or_open,9986,5207,4779,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2031-03-01,40-44,five_year_or_open,10784,5714,5070,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2036-03-01,40-44,five_year_or_open,11141,5929,5211,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2026-03-01,45-49,five_year_or_open,8811,4524,4287,printed_table_18_heading
