location_id,purpose,district_code,attraction_layer,nres_volume_m3,total_volume_m3,attraction_weight,radius_m,source
osm_node_10170618322,work,518,nres,0,1754462,1.3821e-05,300,derived
osm_node_10170618322,shopping,518,total,0,1754462,1.75446e+06,300,derived
osm_node_10170618323,work,518,nres,0,1754462,1.3821e-05,300,derived
osm_node_10170631375,work,518,nres,18326,913583,1.36252e-05,300,derived
osm_node_10170631379,work,518,nres,18326,906587,1.35701e-05,300,derived
osm_node_10170631379,leisure,518,total,18326,906587,906587,300,derived
osm_node_10170631380,work,518,nres,18326,906587,1.35701e-05,300,derived
osm_node_10170631381,work,518,nres,18326,906587,1.35701e-05,300,derived
osm_node_10170631382,work,518,nres,18326,906587,1.35701e-05,300,derived
osm_node_10170631383,work,518,nres,18326,906587,1.35701e-05,300,derived
osm_node_10170631383,shopping,518,total,18326,906587,906587,300,derived
osm_node_10170645868,work,518,nres,18326,1021995,1.44793e-05,300,derived
osm_node_10170645869,work,518,nres,18326,1035599,1.45864e-05,300,derived
osm_node_10170645869,leisure,518,total,18326,1035599,1.0356e+06,300,derived
osm_node_10170645870,work,518,nres,18326,1035599,1.45864e-05,300,derived
osm_node_10170645870,shopping,518,total,18326,1035599,1.0356e+06,300,derived
osm_node_10170645871,work,518,nres,18326,1035599,1.45864e-05,300,derived
osm_node_10170645871,leisure,518,total,18326,1035599,1.0356e+06,300,derived
osm_node_10170645872,work,518,nres,18326,1035599,1.45864e-05,300,derived
osm_node_10170645872,leisure,518,total,18326,1035599,1.0356e+06,300,derived
osm_node_10170645873,work,518,nres,18326,1035599,1.45864e-05,300,derived
osm_node_10170645873,shopping,518,total,18326,1035599,1.0356e+06,300,derived
osm_node_10170645874,work,518,nres,18326,1035599,1.45864e-05,300,derived
osm_node_10170645874,shopping,518,total,18326,1035599,1.0356e+06,300,derived
osm_node_10170645875,work,518,nres,18326,1035599,1.45864e-05,300,derived
osm_node_10170645875,shopping,518,total,18326,1035599,1.0356e+06,300,derived
osm_node_10170645876,work,518,nres,18326,1035599,1.45864e-05,300,derived
osm_node_10170645876,shopping,518,total,18326,1035599,1.0356e+06,300,derived
osm_node_10170645877,work,518,nres,18326,1035599,1.45864e-05,300,derived
osm_node_10170645877,shopping,518,total,18326,1035599,1.0356e+06,300,derived
osm_node_10172728624,work,517,nres,0,1519324,1.20207e-05,300,derived
osm_node_10172914421,work,518,nres,29943,628306,1.54529e-05,300,derived
osm_node_10172914423,work,518,nres,190125,2179989,8.38649e-05,300,derived
osm_node_10172914425,work,518,nres,506899,1830502,0.000192229,300,derived
osm_node_10172914426,work,518,nres,45939,1296533,2.6328e-05,300,derived
osm_node_10172914427,work,518,nres,44832,1265988,2.56991e-05,300,derived
osm_node_10172914428,work,518,nres,41999,1336479,2.52606e-05,300,derived
osm_node_10172914429,work,518,nres,55033,1026261,2.73889e-05,300,derived
osm_node_10172914433,work,518,nres,30195,1343114,2.11723e-05,300,derived
osm_node_10172914443,work,518,nres,81439,1570151,4.09361e-05,300,derived
osm_node_10172914444,work,518,nres,47157,1636253,2.94315e-05,300,derived
osm_node_10172914445,work,518,nres,13217,1638589,1.75445e-05,300,derived
osm_node_10172914446,work,518,nres,0,1495138,1.17782e-05,300,derived
osm_node_10172914447,work,518,nres,0,1040342,8.19544e-06,300,derived
osm_node_10172914448,work,518,nres,0,919837,7.24615e-06,300,derived
osm_node_10172914449,work,518,nres,0,921128,7.25632e-06,300,derived
osm_node_10172993868,work,520,nres,0,1458767,1.84453e-05,300,derived
osm_node_10172993868,leisure,520,total,0,1458767,1.45877e+06,300,derived
osm_node_10172993869,work,520,nres,0,1795258,2.27e-05,300,derived
osm_node_10172993869,leisure,520,total,0,1795258,1.79526e+06,300,derived
osm_node_10172993870,work,520,nres,0,1795258,2.27e-05,300,derived
osm_node_10172993870,leisure,520,total,0,1795258,1.79526e+06,300,derived
osm_node_10172993871,work,520,nres,0,1574864,1.99133e-05,300,derived
osm_node_10172993871,leisure,520,total,0,1574864,1.57486e+06,300,derived
osm_node_10172993872,work,520,nres,27646,1626909,2.89449e-05,300,derived
osm_node_10172993872,leisure,520,total,27646,1626909,1.62691e+06,300,derived
osm_node_10172993874,work,520,nres,27646,1258114,2.42817e-05,300,derived
osm_node_10172993874,leisure,520,total,27646,1258114,1.25811e+06,300,derived
osm_node_10172993875,work,520,nres,27646,1258114,2.42817e-05,300,derived
osm_node_10172993875,leisure,520,total,27646,1258114,1.25811e+06,300,derived
osm_node_10172993876,work,520,nres,27646,1159342,2.30328e-05,300,derived
osm_node_10172993876,leisure,520,total,27646,1159342,1.15934e+06,300,derived
osm_node_10172993878,work,520,nres,21030,1178536,2.12716e-05,300,derived
osm_node_10172993878,leisure,520,total,21030,1178536,1.17854e+06,300,derived
osm_node_10172993879,work,520,nres,0,1232669,1.55864e-05,300,derived
osm_node_10172993879,leisure,520,total,0,1232669,1.23267e+06,300,derived
osm_node_10172993880,work,520,nres,0,1615245,2.04239e-05,300,derived
osm_node_10172993880,leisure,520,total,0,1615245,1.61524e+06,300,derived
osm_node_10172993881,work,520,nres,18549,1060496,1.90276e-05,300,derived
osm_node_10172993881,leisure,520,total,18549,1060496,1.0605e+06,300,derived
osm_node_10172993882,work,520,nres,0,1481407,1.87316e-05,300,derived
osm_node_10172993882,leisure,520,total,0,1481407,1.48141e+06,300,derived
osm_node_10172993883,work,520,nres,0,1481407,1.87316e-05,300,derived
osm_node_10172993883,leisure,520,total,0,1481407,1.48141e+06,300,derived
osm_node_10172993884,work,520,nres,0,1481407,1.87316e-05,300,derived
osm_node_10172993884,leisure,520,total,0,1481407,1.48141e+06,300,derived
osm_node_10172993885,work,520,nres,0,1481407,1.87316e-05,300,derived
osm_node_10172993885,leisure,520,total,0,1481407,1.48141e+06,300,derived
osm_node_10172993887,work,520,nres,0,390544,4.93821e-06,300,derived
osm_node_10172993887,leisure,520,total,0,390544,390544,300,derived
osm_node_10172993889,work,520,nres,27646,1579573,2.83464e-05,300,derived
osm_node_10172993889,leisure,520,total,27646,1579573,1.57957e+06,300,derived
osm_node_10172993890,work,520,nres,27646,1579573,2.83464e-05,300,derived
osm_node_10172993890,leisure,520,total,27646,1579573,1.57957e+06,300,derived
osm_node_10172993891,work,520,nres,27646,1579573,2.83464e-05,300,derived
osm_node_10172993891,leisure,520,total,27646,1579573,1.57957e+06,300,derived
osm_node_10172993892,work,520,nres,0,1810212,2.28891e-05,300,derived
osm_node_10172993892,leisure,520,total,0,1810212,1.81021e+06,300,derived
osm_node_10172993893,work,520,nres,0,1810212,2.28891e-05,300,derived
osm_node_10172993893,leisure,520,total,0,1810212,1.81021e+06,300,derived
osm_node_10172993894,work,520,nres,0,1564335,1.97802e-05,300,derived
osm_node_10172993894,leisure,520,total,0,1564335,1.56434e+06,300,derived
osm_node_10172993895,work,520,nres,0,1810212,2.28891e-05,300,derived
osm_node_10172993895,leisure,520,total,0,1810212,1.81021e+06,300,derived
osm_node_10173160013,work,520,nres,0,244380,3.09005e-06,300,derived
osm_node_10173160013,leisure,520,total,0,244380,244380,300,derived
osm_node_10177484344,work,520,nres,1627,2506432,3.21852e-05,300,derived
