location_id,purpose,geography_id,x_m,y_m,source
osm_node_10159011474,work,,367869.40795952256,2056025.8097961177,OSM_point_location_not_capacity
osm_node_10159011474,leisure,,367869.40795952256,2056025.8097961177,OSM_point_location_not_capacity
osm_node_10159386127,work,,370170.5061244043,2056822.452956797,OSM_point_location_not_capacity
osm_node_10159386127,shopping,,370170.5061244043,2056822.452956797,OSM_point_location_not_capacity
osm_node_10159386128,work,,370170.2990080656,2056816.8656064323,OSM_point_location_not_capacity
osm_node_10159386128,shopping,,370170.2990080656,2056816.8656064323,OSM_point_location_not_capacity
osm_node_10159387018,work,,370131.70447417576,2056576.0050818843,OSM_point_location_not_capacity
osm_node_10159387018,shopping,,370131.70447417576,2056576.0050818843,OSM_point_location_not_capacity
osm_node_10159487412,work,,370002.7036356793,2056502.7967023929,OSM_point_location_not_capacity
osm_node_10159487412,shopping,,370002.7036356793,2056502.7967023929,OSM_point_location_not_capacity
osm_node_10159497551,work,,370004.81564446026,2056509.167803144,OSM_point_location_not_capacity
osm_node_10159497551,shopping,,370004.81564446026,2056509.167803144,OSM_point_location_not_capacity
osm_node_10159682891,work,27:518:99999:802794:2284:000000,281086.01978789235,2113257.776178087,OSM_point_location_not_capacity
osm_node_10162210617,work,,369804.8087676284,2056456.4899284942,OSM_point_location_not_capacity
osm_node_10162210617,leisure,,369804.8087676284,2056456.4899284942,OSM_point_location_not_capacity
osm_node_10166350017,work,,370556.7071344479,2212760.2178485254,OSM_point_location_not_capacity
osm_node_10166350017,education,,370556.7071344479,2212760.2178485254,OSM_point_location_not_capacity
osm_node_10168232369,work,,286793.87533187686,2123217.308238727,OSM_point_location_not_capacity
osm_node_10168232369,shopping,,286793.87533187686,2123217.308238727,OSM_point_location_not_capacity
osm_node_10168330275,work,,370244.8820435898,2046777.45010993,OSM_point_location_not_capacity
osm_node_10168330275,education,,370244.8820435898,2046777.45010993,OSM_point_location_not_capacity
osm_node_10170584872,social,27:518:99999:802794:1870:000000,274081.8472155918,2128755.8323879465,OSM_point_location_not_capacity
osm_node_10170584901,work,27:518:99999:802794:1870:000000,274278.81346751796,2128580.406020308,OSM_point_location_not_capacity
osm_node_10170584902,work,27:518:99999:802794:1870:000000,274399.21369872836,2128552.964107625,OSM_point_location_not_capacity
